time	V(out)
Step Information: X=100n Y=1K  (Run: 1/6)
4.506363155700893e-005	1.380191e-001
6.264175655700895e-005	1.870750e-001
8.314956905700897e-005	2.407896e-001
1.065870690570090e-004	2.978456e-001
1.358839440570090e-004	3.631741e-001
1.681105065570090e-004	4.280374e-001
2.061964440570091e-004	4.962302e-001
2.472120690570091e-004	5.606046e-001
2.882276940570091e-004	6.167530e-001
3.292433190570092e-004	6.657264e-001
3.702589440570092e-004	7.084417e-001
4.112745690570092e-004	7.456986e-001
4.522901940570093e-004	7.781946e-001
4.933058190570093e-004	8.065381e-001
5.010000000000000e-004	8.114413e-001
5.016507812500000e-004	8.110222e-001
5.020000000000001e-004	8.103897e-001
5.445210156250009e-004	7.033125e-001
5.855366406250010e-004	6.134394e-001
6.265522656250010e-004	5.350507e-001
6.675678906250010e-004	4.666791e-001
7.085835156250011e-004	4.070443e-001
7.495991406250011e-004	3.550299e-001
7.906147656250012e-004	3.096623e-001
8.316303906250012e-004	2.700920e-001
8.726460156250012e-004	2.355781e-001
9.136616406250013e-004	2.054747e-001
9.546772656250013e-004	1.792180e-001
9.972451562500011e-004	1.555061e-001
1.000000000000000e-003	1.540847e-001
1.000549281250027e-003	1.544333e-001
1.001000000000000e-003	1.552468e-001
1.021372565624660e-003	2.106899e-001
1.044810065624660e-003	2.700079e-001
1.071177253124659e-003	3.314292e-001
1.103403815624657e-003	3.995258e-001
1.138560065624656e-003	4.659277e-001
1.179575690624655e-003	5.341744e-001
1.220591315624653e-003	5.937001e-001
1.261606940624652e-003	6.456193e-001
1.302622565624650e-003	6.909040e-001
1.343638190624649e-003	7.304020e-001
1.384653815624647e-003	7.648527e-001
1.425669440624646e-003	7.949011e-001
1.466685065624644e-003	8.211098e-001
1.501000000000000e-003	8.404488e-001
1.502000000000000e-003	8.393007e-001
1.544521015624989e-003	7.284034e-001
1.585536640624987e-003	6.353241e-001
1.626552265624986e-003	5.541389e-001
1.667567890624984e-003	4.833280e-001
1.708583515624983e-003	4.215657e-001
1.749599140624981e-003	3.676958e-001
1.790614765624980e-003	3.207096e-001
1.831630390624978e-003	2.797276e-001
1.872646015624977e-003	2.439825e-001
1.913661640624975e-003	2.128051e-001
1.954677265624974e-003	1.856117e-001
1.997245156249951e-003	1.610539e-001
2.000000000000000e-003	1.595817e-001
2.000549281248706e-003	1.599202e-001
2.001000000000000e-003	1.607256e-001
